question,user_input,retrieved_contexts,reference_contexts,non_llm_context_precision_with_reference,non_llm_context_recall
Allow sending account information when importing users,Allow sending account information when importing users,"['## Topic\nAllow Sending Account Information When Importing Users', '## description\nCurrently, the user import feature (#33102) does not have a feature to send account information to newly created users. Since there is a ""Send account information to the user"" checkbox when adding users one by one from the web UI, I think there should be the same kind of feature for importing from CSV. The ""Import users"" screen already has a ""Send email notifications during the import"" checkbox (#22771, currently not working when importing users). I think it would be better if the account information is sent when this checkbox is turned on.', '## Purpose\nThe purpose of this feature is to enable sending account information to newly created users during the user import process. This feature also allows users to automatically send account information when importing users from a CSV file, similar to the existing feature for adding users one by one from the web UI. The feature improves the user import process by providing a more consistent and automated experience.', ""## Inputs/Outputs:\n- Input: User selects the 'Send email notifications during the import' checkbox when importing users from a CSV file.\n- Output: Account information is sent to newly created users during the import process."", '## Topic\nAllow Forward Reference To Parent When Importing Issues']","['Currently, the user import feature (#33102) does not have a feature to send account information to newly created users. Since there is a ""Send account information to the user"" checkbox when adding users one by one from the web UI, I think there should be the same kind of feature for importing from CSV.\r\n\r\nThe ""Import users"" screen already has a ""Send email notifications during the import"" checkbox (#22771, currently not working when importing users). I think it would be better if the account information is sent when this checkbox is turned on.']",0.49999999995,1.0
Disable jumping to journal's note after updating the issue,Disable jumping to journal's note after updating the issue,"[""## description\nCurrent functionality automatically scrolls the page to new note, after issue is updated. It is not handy if you are updating some issues's fields, sumbit it and want to continue working with issues further — you have to scroll page back to the top after each update. Is it possible to turn jumping to new note's anchor link in Redmine 5.1.1?"", ""## Topic\nDisable Jumping To Journal's Note After Updating The Issue"", '## Purpose\nThe purpose of this feature is to prevent automatic scrolling to a new note after updating an issue. This feature also allows users to continue working with issues without having to scroll back to the top after each update.', '## Topic\nUpdating Journal Notes Via REST API', ""## description\nWhen I create a new issue by copying an old one, it doesn't change the old one, so I'd like to be able to disable notifications for that. Notification needs to stay as it is for the new one, of course.""]","[""Current functionality automatically scrolls the page to new note, after issue is updated. It is not handy if you are updating some issues's fields, sumbit it and want to continue working with issues further — you have to scroll page back to the top after each update.\r\n\r\nIs it possible to turn jumping to new note's anchor link in Redmine 5.1.1?""]",0.9999999999,1.0
No more comments when ticket closed,No more comments when ticket closed,"['## Purpose\nThe purpose of this feature is to prevent users from commenting on closed tickets. This feature also enables users to maintain a clean and organized ticket history by removing unnecessary comments when a ticket is closed.', '## Topic\nNo More Comments When Ticket Closed', '## Inputs/Outputs:\n- Input: Users attempt to comment on a closed ticket.\n- Output: Comments are not allowed on closed tickets.', '## description\nIn the ticket filtering, if you can filter tickets that have a comment in the ""Comment Creation Date"" field, you can extract tickets that have been created after that date. If we can extract the tickets after that date, it will allow the Project Manager to efficiently check and respond to tickets that have been responded to. (Project Manager can check tickets and respond to comments when they are free.) (The Project Manager would like to check and respond to any comments made since the last time when he/she has a spare moment.) Description. The current filter function can extract tickets with an update date as a key. However, it does not know if that ticket is an update with comments or not. In the ticket filtering, the ""Comment Creation Date"" field allows you to specify a date for tickets with comments. If the ticket filtering function can extract tickets that were created after the date of the comment, it would be more efficient for the administrator to check for tickets that have been responded to. This would allow the administrator to efficiently check for tickets that have been responded to. Thank you in advance for your consideration.', ""## Purpose\nThe purpose of this feature is to address the concern of preventing certain changes after a ticket status is 'closed'. This feature also enables administrators to restrict special users from making changes such as adding comments or logging time after a ticket is closed.""]",['Is there a possibility to prevent users from commenting on closed tickets?'],0.0,0.0
Tracker based field ordering.,Tracker based field ordering.,"['## Topic\nThe Design Of The Tracker Selection UI On The Custom Field Editing Screen And The Project Settings Screen Should Be Aligned To Create A Sense Of Coherence And Unity.', '## Inputs/Outputs:\n- Input: Selecting a category for a specific tracker in the issue form.\n- Output: Issues are auto-assigned to a specific user based on the chosen category for the selected tracker.', '## Inputs/Outputs:\n- Input: User interaction with the custom field editing screen and the project settings screen.\n- Output: A unified tracker selection UI on both screens.', '## Purpose\nThe purpose of this feature is to standardize the order of diff content in Redmine views. This feature enables consistent ordering of diff content across different views, allowing users to easily compare changes. This feature also improves user experience by reducing confusion caused by different ordering in different views.', ""## Inputs/Outputs:\n- Input: Users interact with the tracker's edit page to disable the priority field.\n- Output: The priority field is disabled, and the default status is set for newly created issues.""]",['Currently you can define only order of custom fields only. Standard fields are non sortable and always top of list.\r\nIt would be nice to be able to sort these fields separately for each trackers.'],0.0,0.0
Custom fields list type improvement,Custom fields list type improvement,"['## Topic\nCustom Fields List Type Improvement', '## Purpose\nThe purpose of this feature is to improve the custom fields list type in the database. This feature also ensures relational database integrity by storing list item values in a separate table. The purpose of this feature is to enable integration with other software via API, allowing users to use custom fields of type LIST without losing database integrity.', '## Inputs/Outputs:\n- Input: User interaction with custom fields of type LIST via API.\n- Output: Custom field list item values stored in a separate table for relational database integrity.', '## Purpose\nThe purpose of this feature is to enable users to add custom fields of type key/value list to timelog reports. This feature also allows users to extend the functionality of timelog reports by adding custom key/value list fields.', '## Inputs/Outputs:\n- Input: Users interact with the feature by adding custom fields of type key/value list to timelog reports.\n- Output: The system displays timelog reports with custom key/value list fields added by users.']","[""Every custom field in database has it's own ID in *custom_fields* table, and it's accessible thru *API*.\r\n\r\nHowever, when type is *LIST*, +list item values should be stored in separate table+, because of relational database integrity.\r\n\r\nIf Redmine is to be integrated with some other software via API, and it needs to use custom fields of type LIST, integration can be\r\nperformed only by value not by value's ID, which means, if someone changes value, 3rd party application's database integrity is lost, if it were ID, then integrity won't be lost, as it's in every other table of Redmine, or any other relational database.""]",0.0,0.0
New permission to allow to view all projects,New permission to allow to view all projects,"['## Inputs/Outputs:\n- Input: User requests access to view all projects via the Redmine REST-API.\n- Output: System returns a list of all projects, accessible to users with the new permission.', '## Topic\nNew Permission To Allow To View All Projects', ""## Purpose\nThe purpose of this feature is to address a security risk in the Redmine REST-API by allowing users to view all projects without requiring an Administrator's API key. This feature also enables users with the new permission to access project information without compromising security. The new permission would be beneficial for both API users and project management."", '## description\nWe are developing an synchronization of projects between Redmine and another application with the usage of the Redmine REST-API. Now we have noticed that only if you take the API key of an Administrator you get a list of all projects. Otherwise you only get the list of projects you are involved in. But using an Administrator as API-User is a security risk. It would be nice if there could be added a new permission for viewing all projects. This would not only be good for the API but also for the project management.', '## Purpose\nThe purpose of this feature is to allow non-admin users to view all projects and sub-projects. This feature enables users to see a comprehensive list of projects without requiring administrative privileges. The feature also prevents chaos by allowing designated users to view all projects without the ability to edit system settings.']",['We are developing an synchronization of projects between Redmine and another application with the usage of the Redmine REST-API. Now we have noticed that only if you take the API key of an Administrator you get a list of all projects. Otherwise you only get the list of projects you are involved in.\r\n\r\nBut using an Administrator as API-User is a security risk.\r\n\r\nIt would be nice if there could be added a new permission for viewing all projects. This would not only be good for the API but also for the project management.'],0.249999999975,1.0
Various features for MailHandler,Various features for MailHandler,"['## Topic\nVarious Features For Mailhandler', '## Inputs/Outputs:\n- Input: Users interact with the MailHandler by sending emails.\n- Output: The MailHandler returns a custom error for unhandled cases.', '## Purpose\nThe purpose of this feature is to improve error handling in the MailHandler. This feature also unifies the logged message and the error handling in MailHandler, allowing plugins to more easily hook into unhandled cases.', '## Topic\nImprove Errors In Mailhandler: Add Missingcontainer And Lockedtopic Exception', '## description\nThere are some cases for which the @MailHandler@ drops incoming emails and just logs an info. This patch replaces this with a custom error to allow for plugins to more easily hook into those unhandled cases. This also unifies the logged message and the error handling in @MailHandler@.']","['Hi,\r\n\r\n  For my local redmine instance (4.0.7-1~bpo10+1 from Debian package), I needed to improve the MailHandler behavior.\r\nI\'m sharing here my work in case it can be useful to others. Perhaps some modification might be added to official redmine, it is up to you.\r\nI\'m new in ruby, so do not hesitate to correct me if they are improvement that can be done.\r\n\r\n  My patch add the following behaviors:\r\n\r\n1) keep some headers in messages\r\n  It occurs several time I\'ve been missing some information present in the original mail. So, I added some functions to keep them (to, cc, bcc (and subject for replies))\r\n  This is the part about headers_as_text and header_as_text\r\n  It is my first try. All is hardcoded in the code (no option)\r\n\r\n2) Allows one to specify the start of a line as a regexp when matching redmine keyword\r\n  So, invoking redmine:email:receive_imap with reprefix=\'Redmine:? ?\' forces redmine to only look at line starting with this motif (before all keywords such as Project: ...). This avoid false positive line in the mail...\r\n  For this, there is a small modif to read the option from env and a small modif in extract_keyword! to add this prefix (and to use named match group as the prefix can add new groups \'()\')\r\n\r\n3) And the biggest part: something that allows to answer to an issue without knowing the issue number.\r\n  One of my initial goal was to be able to keep track of icinga problems in Redmine.\r\n  Initially, I setup icinga to send notification to redmine. It works, but all messages creates new issues (either for new problems, but also for notification of fixed problem).\r\n  So, redmine was having lots of issues, and manual work was required if we want to close issue correctly.\r\n  I was difficult to do more things from icinga because icinga runs on a machine that cannot access to the web interface of redmine (no way for me to change this politic), so I cannot imagine icinga to look for the correct issue number (and I would not even know how to do this if the systems was on the same machine).\r\n\r\nSo, I imagine another idea. I use a specific custom field. Icinga sets up this field in all its mails, making unique by problem.\r\nOn redmine part, in the dispatch_to_default, before creating an issue, I first check if\r\na) the custom field is set\r\nb) and an issue is opened with the custom field set to this value\r\nIf both conditions are present, I add a reply to the issue (instead of creating a new issue)\r\n\r\nOn redmine part, there is just an option to choose the custom field to use (ext_ref in my implementation)\r\nOn icinga, I added this kind of things in the message (it is prepared by a bash script):\r\n<pre>\r\n## Redmine links\r\ncat << EOF\r\nRedmine external reference: icinga-service: ${SERVICENAME}@${HOSTNAME}\r\nRedmine machine: ${HOSTNAME}\r\nRedmine service: ${SERVICENAME}\r\nEOF\r\nif [ ""$SERVICESTATE"" = OK ]; then echo ""Redmine Status: Terminé(e)""; fi\r\n</pre>\r\n  Machine and Service being to other custom fields in my tracker (and ""External Reference"" is the name of the custom field I\'m using and that I give with the ext_ref=\'...\' new parameter)\r\n\r\nSo now, new icinga problems creates new tickets. But futher notifications for the same problem (host/service) are added to the same redmine issue, until the problem is gone (""$SERVICESTATE"" = OK) that will close the ticket. If another problem occurs with the same host/service, a new ticket will be created. I a separate problem occurs with different host and/or service, another ticket will be used.\r\n\r\nA few word about my code:\r\n1) I\'m not sure I correctly use IssueQuery. I do not find lots of examples (from ruby point of view) and I\'m under the impression that the way I add the custom field filter (from its name and the searched value) is a hack.\r\n2) I\'m pretty sure that IssueQuery won\'t work with no_permission_check=1 (but again, I did not find any doc about the restriction on issues that IssueQuery return (visible to the current user?, ...?))\r\n3) I needed to find a keyword (the custom field value) at the start, before the place where it will be extracted and write into the issue.\r\n  With the initial implementation of get_keyword/extract_keyword!, the custom field value would be erased at the start, and not seen later when the issue must be updated.\r\n  So I added a parameter to these to function that allows one to avoid to modify the message.\r\n  It is not a proper code (extract_keyword! can be a method that do *not* modify the text, ...), it would probably need to be rewritten correctly.\r\n\r\nAnd, for the end, an idea that I will perhaps implement (not yet done): two different options for allow_override: one used for new issues, one used when replying to an issue.\r\n\r\nEven if these ideas are not added to core Redmine, I think they can be useful for other people. Having looked on Internet, I was not the only one trying to make icinga and redmine work together.\r\nAnd this framework can (and will in my case) be use in other contexts:\r\n- linking issues from redmine and another ticket system (just an idea for now, but it should be doable)\r\n- allowing an external pipeline to create and update the good issue by mail (based on an external unique pipeline run ID)\r\n- ...\r\n\r\nRegards,\r\n    Vincent']",0.0,0.0
Allow collapse/expand in gantt chart,Allow collapse/expand in gantt chart,"['## Topic\nAllow Collapse/expand In Gantt Chart', '## Topic\nExpand & Collapse Gantt Chart List', '## Inputs/Outputs:\n- Input: User interaction with the Gantt chart plugin to collapse and expand nested structures.\n- Output: A collapsed Gantt chart with each version represented by a single row showing the due date.', '## Purpose\nThe purpose of this feature is to enable users to collapse and expand nested structures in the Gantt chart plugin. This feature also allows users to view a high-level picture of tasks and bugs by collapsing each version to a single row. The feature improves the user experience by providing a way to hide unnecessary details and focus on key information.', ""## description\nEric - it would be great if there was a way to collapse nested structures in the Gantt chart plugin you developed.. for example, if we don't want to see all the tasks/bugs for our versions, but just want a high level picture of what's coming up, it would be nice to be able to collapse each version to a single row that shows the due date for the version. Possible? Thanks!""]","[""Eric - it would be great if there was a way to collapse nested structures in the Gantt chart plugin you developed.. for example, if we don't want to see all the tasks/bugs for our versions, but just want a high level picture of what's coming up, it would be nice to be able to collapse each version to a single row that shows the due date for the version. Possible? Thanks!""]",0.19999999998,1.0
"OR search with multiple terms for ""starts with"" and ""ends with"" filter operators","OR search with multiple terms for ""starts with"" and ""ends with"" filter operators","['## Topic\nOR Search With Multiple Terms For ""starts With"" And ""ends With"" Filter Operators', '## description\nCurrently, two filter operators ""contains"" and ""contains any"" support multiple terms. When multiple terms are given, those filters perform AND search or OR search. I propose adding support for multiple terms to ""starts with"" and ""Ends with"" operators as well. If multiple terms are given, those operators will perform OR search. Here is one of the uses of this feature. Suppose that you want to find issues with PowerPoint or PDF file attached. The result you want is the list of issues that have files whose filenames end with "".pptx"" or "".pdf"". But it is impossible to make a query to get such a result because the current ""ends with"" filter only supports a single term. If the operator supports multiple keywords, the following filter can be applied to get the result you want. !{width: 609px; border: 1px solid grey;}.clipboard-202304161138-0fzse.png! The attached patch adds support for OR search with multiple terms for ""starts with"" and ""ends with"" operators. After this patch applied, all operators except ""any"" and ""none"" for string/text filters will support multiple terms.', ""## Inputs/Outputs:\n- Input: Users can input multiple terms for the'starts with' and 'ends with' filter operators.\n- Output: The system will return a list of issues that match the OR search conditions."", ""## Purpose\nThe purpose of this feature is to add support for multiple terms to the'starts with' and 'ends with' filter operators. This feature enables users to perform OR searches with multiple terms for these operators, allowing users to find issues that match multiple conditions. The feature also improves the query functionality by enabling users to create more complex filters."", ""## Inputs/Outputs:\n- Input: Users can select multiple search terms in the 'Subject' filter and apply conditions with comma-separated terms in custom queries.\n- Output: The system displays search results based on the selected multiple search terms and conditions.""]","['Currently, two filter operators ""contains"" and ""contains any"" support multiple terms. When multiple terms are given, those filters perform AND search or OR search.\r\n\r\nI propose adding support for multiple terms to ""starts with"" and ""Ends with"" operators as well. If multiple terms are given, those operators will perform OR search.\r\n\r\nHere is one of the uses of this feature. Suppose that you want to find issues with PowerPoint or PDF file attached. The result you want is the list of issues that have files whose filenames end with "".pptx"" or "".pdf"". But it is impossible to make a query to get such a result because the current ""ends with"" filter only supports a single term.\r\n\r\nIf the operator supports multiple keywords, the following filter can be applied to get the result you want.\r\n\r\n!{width: 609px; border: 1px solid grey;}.clipboard-202304161138-0fzse.png!\r\n\r\nThe attached patch adds support for OR search with multiple terms for ""starts with"" and ""ends with"" operators. After this patch applied, all operators except ""any"" and ""none"" for string/text filters will support multiple terms.']",0.49999999995,1.0
Move action links and edit form above the history when displaying comments in reverse order,Move action links and edit form above the history when displaying comments in reverse order,"['## description\nWhen we switch comments to reverse chronological order `action_menu` and div#update are still below History section. This requires either scrolling to the top or to the very bottom of the page to be able to click ""edit"". Is it possible to move `action_menu` and `edit` partials above div#history for User.current.wants_comments_in_reverse_order? ?', '## Topic\nMove Action Links And Edit Form Above The History When Displaying Comments In Reverse Order', '## description\nSo I\'ve set up my Redmine to display issue comments in reverse chronological order. I have an issue with hundreds of comments. When I hit Edit, the form is displayed at the very bottom of the page. To me, it would make more sense that the Edit page shows above the latest comment, so there is no need to Scroll all the way up to see what are the latest comments as I am adding new ones. So: - ""Show comments in chronological order"": Edit form is at the very bottom of the page - ""Show comments in reverse chronological order"": Edit form is displayed above the top comment Does this makes sense?', '## Purpose\nThe purpose of this feature is to improve user experience when displaying comments in reverse order. This feature also allows users to easily access action links and edit form without requiring scrolling. The purpose of this feature is to enhance usability and accessibility.', '## Inputs/Outputs:\n- Input: User switching comments to reverse chronological order\n- Output: Action links and edit form displayed above the history section']","['When we switch comments to reverse chronological order `action_menu` and div#update are still below History section. This requires either scrolling to the top or to the very bottom of the page to be able to click ""edit"".\r\nIs it possible to move `action_menu` and `edit` partials above div#history for User.current.wants_comments_in_reverse_order? ?']",0.9999999999,1.0
